date,open,high,low,close,volume
2025-01-06 09:15:00+05:30,575.45,591.9,575.45,580.55,675
2025-01-06 09:20:00+05:30,580.55,611.5,566.4,611.5,525
2025-01-06 09:25:00+05:30,611.5,611.5,571.05,571.05,825
2025-01-06 09:30:00+05:30,571.05,582.7,536.8,536.8,525
2025-01-06 09:35:00+05:30,529.0,535.0,458.6,493.0,5175
2025-01-06 09:40:00+05:30,493.0,526.45,493.0,525.2,375
2025-01-06 09:45:00+05:30,525.2,535.4,506.9,531.8,975
2025-01-06 09:50:00+05:30,537.1,539.35,521.95,539.35,300
2025-01-06 09:55:00+05:30,539.35,548.5,532.65,534.5,900
2025-01-06 10:00:00+05:30,534.5,571.4,534.5,555.4,1800
2025-01-06 10:05:00+05:30,555.4,581.15,553.9,581.15,2550
2025-01-06 10:10:00+05:30,581.15,590.4,581.15,590.4,150
2025-01-06 10:15:00+05:30,590.4,597.35,584.2,584.2,300
2025-01-06 10:20:00+05:30,584.2,584.2,548.7,548.7,450
2025-01-06 10:25:00+05:30,548.7,548.7,523.65,524.65,900
2025-01-06 10:30:00+05:30,517.15,517.15,516.3,516.3,225
2025-01-06 10:35:00+05:30,516.3,516.3,487.15,487.15,450
2025-01-06 10:40:00+05:30,487.15,487.15,441.25,441.25,1050
2025-01-06 10:45:00+05:30,435.2,435.2,419.6,435.0,1875
2025-01-06 10:50:00+05:30,435.0,435.0,410.25,418.5,1950
2025-01-06 10:55:00+05:30,409.7,417.3,400.0,411.2,1950
2025-01-06 11:00:00+05:30,411.2,411.2,395.0,397.7,1350
2025-01-06 11:05:00+05:30,397.7,401.2,382.0,382.0,2850
2025-01-06 11:10:00+05:30,382.0,382.0,344.7,361.05,8475
2025-01-06 11:15:00+05:30,355.0,374.5,340.5,372.35,7575
2025-01-06 11:20:00+05:30,372.35,381.5,352.85,358.15,10950
2025-01-06 11:25:00+05:30,358.15,380.8,354.25,373.2,15375
2025-01-06 11:30:00+05:30,377.4,390.0,360.0,360.0,3975
2025-01-06 11:35:00+05:30,359.95,372.1,345.2,355.65,15675
2025-01-06 11:40:00+05:30,355.4,358.25,327.0,333.2,27375
2025-01-06 11:45:00+05:30,333.2,335.95,291.0,297.25,65100
2025-01-06 11:50:00+05:30,297.25,307.5,287.15,290.45,59100
2025-01-06 11:55:00+05:30,290.45,294.55,282.05,288.85,38475
2025-01-06 12:00:00+05:30,289.7,340.0,289.1,324.25,98025
2025-01-06 12:05:00+05:30,320.55,348.7,320.55,327.95,37575
2025-01-06 12:10:00+05:30,327.95,360.0,327.0,353.2,28650
2025-01-06 12:15:00+05:30,351.5,361.5,324.55,331.6,24150
2025-01-06 12:20:00+05:30,331.6,355.75,331.6,339.95,15150
2025-01-06 12:25:00+05:30,339.8,347.1,314.1,314.1,28725
2025-01-06 12:30:00+05:30,314.1,341.3,314.0,337.4,33150
2025-01-06 12:35:00+05:30,337.4,370.1,337.4,365.0,24075
2025-01-06 12:40:00+05:30,363.0,380.35,352.0,363.3,20025
2025-01-06 12:45:00+05:30,363.3,371.0,346.0,364.85,15075
2025-01-06 12:50:00+05:30,365.65,365.65,340.1,348.0,12525
2025-01-06 12:55:00+05:30,348.0,384.9,346.1,381.35,10425
